Sector,Banks,Capital Goods,Commercial & Professional,Consumer Discretionary Distribution & Retail,Consumer Durables & Apparel,Consumer Services,Consumer Staples Distribution & Retail,Energy,Financial Services,Food & Beverages,Health Care Equipment & Svc,Household & Personal Products,Insurance,Materials,Media and Entertainment,Pharma Biotech & Life Science,REITs,Software & Services,Telecommunication Services,Transportation,Utilities
Banks,1.0,0.4594371245244373,0.40306728341634085,0.478852385609949,0.4230132131489899,0.45495996205417644,0.4040448035268903,0.4963629161013419,0.4154913421296097,0.42912742863815734,0.48187873287549676,0.15198497827463478,0.39400122073926447,0.5835686145834653,0.38584567989304797,0.24259390715907023,0.40314901155079286,0.30745655797334764,0.39047663997043736,0.46911153930282995,0.4386891883632824
Capital Goods,0.4594371245244373,1.0,0.5991273981016633,0.6994113123994481,0.7015375426541627,0.6990164163825069,0.5514138598132443,0.5905547747622545,0.5426024473225649,0.6924528274313178,0.5561843972910413,0.18722837427358685,0.6098813760183853,0.727843330855366,0.5083247039562889,0.3766601018908067,0.4761882140208698,0.44739828817046035,0.39023714881146293,0.606769574738568,0.43163804001065487
Commercial & Professional,0.40306728341634085,0.5991273981016633,1.0,0.5719060815813491,0.5750312831217724,0.5662396623619339,0.48141147182384714,0.47881982239169746,0.43179681638993705,0.5871982468681305,0.4733791612895096,0.04223951364384265,0.5013683960325919,0.5904286434042616,0.4320264998487099,0.362985991242645,0.42040923791253115,0.3594119296329182,0.3144912797641875,0.502808671651193,0.36891224817557244
Consumer Discretionary Distribution & Retail,0.478852385609949,0.6994113123994481,0.5719060815813491,1.0,0.6950592116975937,0.7502220485566802,0.5992360986060411,0.5979834374255595,0.5459062166575305,0.6843525921822825,0.5778129473821404,0.19482133893744608,0.5968537372666683,0.7741437571122461,0.5331031166607801,0.36663851743026876,0.5327295695066409,0.5037450599358382,0.41621404736246137,0.6582184472816842,0.4284416488549862
Consumer Durables & Apparel,0.4230132131489899,0.7015375426541627,0.5750312831217724,0.6950592116975937,1.0,0.7365096466229001,0.5720845124089895,0.5390762895733582,0.5964362894049757,0.7388341347969958,0.5099058164171179,0.11021370767325434,0.5994761592955984,0.7603318871066456,0.5401679004727773,0.39970589738938705,0.5431061621041242,0.4468457029803028,0.360500704968538,0.6379864679745554,0.39254905864827505
Consumer Services,0.45495996205417644,0.6990164163825069,0.5662396623619339,0.7502220485566802,0.7365096466229001,1.0,0.6132031380883333,0.5729205624713823,0.627367343023797,0.7367838916120456,0.5913568847317252,0.1676711336093064,0.6104549877357365,0.8027107781468757,0.5815746765915714,0.3898900618286555,0.5782567255669732,0.5178042399852412,0.40706037336693845,0.7137262417462055,0.4224455324833122
Consumer Staples Distribution & Retail,0.4040448035268903,0.5514138598132443,0.48141147182384714,0.5992360986060411,0.5720845124089895,0.6132031380883333,1.0,0.5130950062923004,0.49406790367869696,0.6098900893382809,0.4928911315865574,0.27062207600243576,0.48318365453791257,0.6429406709265604,0.46216853279529296,0.33232626358410616,0.4500608424678684,0.40481223806317734,0.29527799107234354,0.5680482649529506,0.32666147471475776
Energy,0.4963629161013419,0.5905547747622545,0.47881982239169746,0.5979834374255595,0.5390762895733582,0.5729205624713823,0.5130950062923004,1.0,0.44692231418237055,0.600878242845449,0.4883653863006579,0.06707663013675677,0.4954666144754626,0.6562493708331717,0.44941206169036285,0.3026818617215327,0.4447711279383505,0.4232102045444343,0.3349751156725901,0.5254005342909575,0.37914379702696516
Financial Services,0.4154913421296097,0.5426024473225649,0.43179681638993705,0.5459062166575305,0.5964362894049757,0.627367343023797,0.49406790367869696,0.44692231418237055,1.0,0.5852651975373803,0.4390846405845105,0.2166154107705223,0.4783814928529835,0.6486523356573494,0.4986487864763728,0.3018014387244326,0.48075065943185935,0.37618502125038017,0.3494196578722409,0.5427211379670701,0.3002035536851531
Food & Beverages,0.42912742863815734,0.6924528274313178,0.5871982468681305,0.6843525921822825,0.7388341347969958,0.7367838916120456,0.6098900893382809,0.600878242845449,0.5852651975373803,1.0,0.5282487639569698,0.19027376320036912,0.6115287209964941,0.7679015442937401,0.564264112650436,0.38503449117452765,0.5204862424283817,0.4849747082343163,0.3583570288512543,0.6445723794661495,0.4003565360463209
Health Care Equipment & Svc,0.48187873287549676,0.5561843972910413,0.4733791612895096,0.5778129473821404,0.5099058164171179,0.5913568847317252,0.4928911315865574,0.4883653863006579,0.4390846405845105,0.5282487639569698,1.0,0.06896449764391331,0.4925455184651406,0.6207890925187319,0.43905394386635177,0.394674915268199,0.44326423555609784,0.4085309054078626,0.4163700375294752,0.5556218821104019,0.41888130344097374
Household & Personal Products,0.15198497827463478,0.18722837427358685,0.04223951364384265,0.19482133893744608,0.11021370767325434,0.1676711336093064,0.27062207600243576,0.06707663013675677,0.2166154107705223,0.19027376320036912,0.06896449764391331,1.0,0.07377934550710295,0.12348145892740431,0.18799097323281097,0.25238484936037436,0.022338059612628358,0.10640992562479881,0.1600775347913976,0.30669217421269335,0.12973024629990115
Insurance,0.39400122073926447,0.6098813760183853,0.5013683960325919,0.5968537372666683,0.5994761592955984,0.6104549877357365,0.48318365453791257,0.4954666144754626,0.4783814928529835,0.6115287209964941,0.4925455184651406,0.07377934550710295,1.0,0.6566645192852221,0.4719600441254001,0.3503745004165682,0.5074294212705956,0.40508347831660363,0.3533808403967952,0.572450004062386,0.38244402099917474
Materials,0.5835686145834653,0.727843330855366,0.5904286434042616,0.7741437571122461,0.7603318871066456,0.8027107781468757,0.6429406709265604,0.6562493708331717,0.6486523356573494,0.7679015442937401,0.6207890925187319,0.12348145892740431,0.6566645192852221,1.0,0.5949564959923535,0.42323324434494775,0.6265577757777588,0.5302261155610183,0.4583066421652332,0.7521343212890119,0.47632976931533627
Media and Entertainment,0.38584567989304797,0.5083247039562889,0.4320264998487099,0.5331031166607801,0.5401679004727773,0.5815746765915714,0.46216853279529296,0.44941206169036285,0.4986487864763728,0.564264112650436,0.43905394386635177,0.18799097323281097,0.4719600441254001,0.5949564959923535,1.0,0.3083020732197908,0.44346736728864017,0.39616438257085124,0.3056288038214248,0.5088412999251138,0.34553817724752095
Pharma Biotech & Life Science,0.24259390715907023,0.3766601018908067,0.362985991242645,0.36663851743026876,0.39970589738938705,0.3898900618286555,0.33232626358410616,0.3026818617215327,0.3018014387244326,0.38503449117452765,0.394674915268199,0.25238484936037436,0.3503745004165682,0.42323324434494775,0.3083020732197908,1.0,0.28006871270231554,0.22360911858580523,0.23413317030650346,0.3873442793662605,0.20560740239639938
REITs,0.40314901155079286,0.4761882140208698,0.42040923791253115,0.5327295695066409,0.5431061621041242,0.5782567255669732,0.4500608424678684,0.4447711279383505,0.48075065943185935,0.5204862424283817,0.44326423555609784,0.022338059612628358,0.5074294212705956,0.6265577757777588,0.44346736728864017,0.28006871270231554,1.0,0.38435493139323834,0.3472175255210192,0.5476736255582023,0.3345300752941699
Software & Services,0.30745655797334764,0.44739828817046035,0.3594119296329182,0.5037450599358382,0.4468457029803028,0.5178042399852412,0.40481223806317734,0.4232102045444343,0.37618502125038017,0.4849747082343163,0.4085309054078626,0.10640992562479881,0.40508347831660363,0.5302261155610183,0.39616438257085124,0.22360911858580523,0.38435493139323834,1.0,0.2918131676234487,0.4729976827238104,0.3227680471838004
Telecommunication Services,0.39047663997043736,0.39023714881146293,0.3144912797641875,0.41621404736246137,0.360500704968538,0.40706037336693845,0.29527799107234354,0.3349751156725901,0.3494196578722409,0.3583570288512543,0.4163700375294752,0.1600775347913976,0.3533808403967952,0.4583066421652332,0.3056288038214248,0.23413317030650346,0.3472175255210192,0.2918131676234487,1.0,0.36959994506463834,0.3429669011807932
Transportation,0.46911153930282995,0.606769574738568,0.502808671651193,0.6582184472816842,0.6379864679745554,0.7137262417462055,0.5680482649529506,0.5254005342909575,0.5427211379670701,0.6445723794661495,0.5556218821104019,0.30669217421269335,0.572450004062386,0.7521343212890119,0.5088412999251138,0.3873442793662605,0.5476736255582023,0.4729976827238104,0.36959994506463834,1.0,0.44343458810390934
Utilities,0.4386891883632824,0.43163804001065487,0.36891224817557244,0.4284416488549862,0.39254905864827505,0.4224455324833122,0.32666147471475776,0.37914379702696516,0.3002035536851531,0.4003565360463209,0.41888130344097374,0.12973024629990115,0.38244402099917474,0.47632976931533627,0.34553817724752095,0.20560740239639938,0.3345300752941699,0.3227680471838004,0.3429669011807932,0.44343458810390934,1.0
